,Iteration,B Type,Constructor,Land Cost,A type,A Size- Sq.Meters,CC1,CC2,Net OP,Q1,Q2,P1,P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-Education,U3-Education,M2-Education,Quota_M2-Education,Merge_M2-Education,Residual_M2-Education,M1-Education,S,SI,Price Difference,Price Difference- After Subsidy,Percent,U2- Subsidy,M2- Subsidy,Quota_M2- Subsidy,Merge_M2- Subsidy,Residual_M2- Subsidy,M1 Subsidy,Constructor Profit
0,1,B1,1,2769804,A3,88,3262780,3297288,15.0%,3752197,3791882,3816353,3857427,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,41074,41074,1.065%,38.372%,767,200,200,567,0,0
1,1,B1,2,2769804,A3,88,3262780,3297288,14.5%,3735883,3775395,3799469,3840364,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,40895,40895,1.065%,38.372%,567,200,200,367,0,0
2,1,B1,3,2769804,A3,88,3262780,3297288,14.0%,3719569,3758909,3782584,3823300,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,40716,40716,1.065%,38.372%,367,200,200,167,0,0
3,1,B1,4,2769804,A3,88,3262780,3297288,13.5%,3703255,3742422,3765699,3806237,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,167,167,200,0,0,0,0,40538,40538,1.065%,38.372%,167,167,200,0,0,0
4,1,B1,5,2769804,A3,88,3262780,3297288,13.0%,3686941,3725936,3748814,3789173,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,40359,40359,1.065%,38.372%,0,0,0,0,200,0
5,1,B1,6,2769804,A3,88,3262780,3297288,12.5%,3670628,3709449,3731929,3772110,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,40181,40181,1.065%,38.372%,0,0,0,0,200,0
6,1,B1,7,2769804,A3,88,3262780,3297288,12.0%,3654314,3692963,3715044,3755046,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,40002,40002,1.065%,38.372%,0,0,0,0,200,0
7,1,B1,8,2769804,A3,88,3262780,3297288,11.5%,3638000,3676476,3698159,3737983,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,39823,39823,1.065%,38.372%,0,0,0,0,200,0
8,1,B1,9,2769804,A3,88,3262780,3297288,11.0%,3621686,3659990,3681274,3720919,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,39645,39645,1.065%,38.372%,0,0,0,0,200,0
9,1,B1,10,2769804,A3,88,3262780,3297288,10.5%,3605372,3643504,3664389,3703856,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,39466,39466,1.066%,38.372%,0,0,0,0,200,0
10,2,B2,1,1663770,A3,88,2156746,2191254,15.0%,2480258,2519942,2499897,2540970,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,41074,41074,1.616%,38.372%,767,200,200,567,0,0
11,2,B2,2,1663770,A3,88,2156746,2191254,14.5%,2469474,2508986,2488735,2529630,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,40895,40895,1.617%,38.372%,567,200,200,367,0,0
12,2,B2,3,1663770,A3,88,2156746,2191254,14.0%,2458690,2498030,2477574,2518291,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,40716,40716,1.617%,38.372%,367,200,200,167,0,0
13,2,B2,4,1663770,A3,88,2156746,2191254,13.5%,2447907,2487074,2466413,2506951,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,167,167,200,0,0,0,0,40538,40538,1.617%,38.372%,167,167,200,0,0,0
14,2,B2,5,1663770,A3,88,2156746,2191254,13.0%,2437123,2476117,2455252,2495611,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,40359,40359,1.617%,38.372%,0,0,0,0,200,0
15,2,B2,6,1663770,A3,88,2156746,2191254,12.5%,2426339,2465161,2444091,2484271,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,40181,40181,1.617%,38.372%,0,0,0,0,200,0
16,2,B2,7,1663770,A3,88,2156746,2191254,12.0%,2415556,2454205,2432930,2472932,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,40002,40002,1.618%,38.372%,0,0,0,0,200,0
17,2,B2,8,1663770,A3,88,2156746,2191254,11.5%,2404772,2443249,2421768,2461592,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,39823,39823,1.618%,38.372%,0,0,0,0,200,0
18,2,B2,9,1663770,A3,88,2156746,2191254,11.0%,2393988,2432292,2410607,2450252,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,39645,39645,1.618%,38.372%,0,0,0,0,200,0
19,2,B2,10,1663770,A3,88,2156746,2191254,10.5%,2383204,2421336,2399446,2438912,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,39466,39466,1.618%,38.372%,0,0,0,0,200,0
20,3,B3,1,1183094,A3,88,1676070,1710578,15.0%,1927480,1967165,1927772,1968845,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,41074,41074,2.086%,38.372%,767,200,200,567,0,0
21,3,B3,2,1183094,A3,88,1676070,1710578,14.5%,1919100,1958612,1919100,1959993,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,40893,40893,2.086%,38.372%,567,200,200,367,0,0
22,3,B3,3,1183094,A3,88,1676070,1710578,14.0%,1910720,1950059,1910720,1951141,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,40421,40421,2.072%,38.372%,367,200,200,167,0,0
23,3,B3,4,1183094,A3,88,1676070,1710578,13.5%,1902339,1941506,1902339,1942289,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,167,167,200,0,0,0,0,39949,39949,2.057%,38.372%,167,167,200,0,0,0
24,3,B3,5,1183094,A3,88,1676070,1710578,13.0%,1893959,1932954,1893959,1933436,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,39477,39477,2.042%,38.372%,0,0,0,0,200,0
25,3,B3,6,1183094,A3,88,1676070,1710578,12.5%,1885579,1924401,1885579,1924584,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,39005,39005,2.027%,38.372%,0,0,0,0,200,0
26,3,B3,7,1183094,A3,88,1676070,1710578,12.0%,1877198,1915848,1877198,1915848,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38649,38649,2.017%,38.372%,0,0,0,0,200,0
27,3,B3,8,1183094,A3,88,1676070,1710578,11.5%,1868818,1907295,1868818,1907295,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38477,38477,2.017%,38.372%,0,0,0,0,200,0
28,3,B3,9,1183094,A3,88,1676070,1710578,11.0%,1860438,1898742,1860438,1898742,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38304,38304,2.017%,38.372%,0,0,0,0,200,0
29,3,B3,10,1183094,A3,88,1676070,1710578,10.5%,1852057,1890189,1852057,1890189,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38132,38132,2.017%,38.372%,0,0,0,0,200,0
30,4,B4,1,930283,A3,88,1423259,1457767,15.0%,1636748,1676432,1636748,1676432,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,39685,39685,2.367%,38.372%,767,200,200,567,0,0
31,4,B4,2,930283,A3,88,1423259,1457767,14.5%,1629632,1669144,1629632,1669144,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,39512,39512,2.367%,38.372%,567,200,200,367,0,0
32,4,B4,3,930283,A3,88,1423259,1457767,14.0%,1622515,1661855,1622515,1661855,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,367,200,200,167,0,0,0,39339,39339,2.367%,38.372%,367,200,200,167,0,0
33,4,B4,4,930283,A3,88,1423259,1457767,13.5%,1615399,1654566,1615399,1654566,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,167,167,200,0,0,0,0,39167,39167,2.367%,38.372%,167,167,200,0,0,0
34,4,B4,5,930283,A3,88,1423259,1457767,13.0%,1608283,1647277,1608283,1647277,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38994,38994,2.367%,38.372%,0,0,0,0,200,0
35,4,B4,6,930283,A3,88,1423259,1457767,12.5%,1601166,1639988,1601166,1639988,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38822,38822,2.367%,38.372%,0,0,0,0,200,0
36,4,B4,7,930283,A3,88,1423259,1457767,12.0%,1594050,1632699,1594050,1632699,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38649,38649,2.367%,38.372%,0,0,0,0,200,0
37,4,B4,8,930283,A3,88,1423259,1457767,11.5%,1586934,1625411,1586934,1625411,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38477,38477,2.367%,38.372%,0,0,0,0,200,0
38,4,B4,9,930283,A3,88,1423259,1457767,11.0%,1579817,1618122,1579817,1618122,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38304,38304,2.367%,38.372%,0,0,0,0,200,0
39,4,B4,10,930283,A3,88,1423259,1457767,10.5%,1572701,1610833,1572701,1610833,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,0,0,0,0,200,0,0,38132,38132,2.367%,38.372%,0,0,0,0,200,0
40,5,B5,1,663515,A3,88,1156491,1190999,15.0%,1329965,1369649,1329965,1369649,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,767,200,200,567,0,0,0,39685,39685,2.897%,38.372%,767,200,200,567,0,0
41,5,B5,2,663515,A3,88,1156491,1190999,14.5%,1324182,1363694,1324182,1363694,Subsidy,0,15000000,15,5e-05,38.372%,31.628%,567,200,200,367,0,0,0,39512,39512,2.897%,38.372%,567,200,200,367,0,0
