,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP,Q1,Q2,P1,P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,S,Price Difference,Price Difference- After Subsidy,P2-Subsidized-Relative-Percent,U2-After-Subsidy,M2-After-Subsidy,Quota_M2- Subsidy,Merge_M2- Subsidy,Residual_M2- Subsidy,M1 Subsidy,H1,H2,Constructor Profit
0,1,B1,1,2769804,692386220,702075999,15.0%,4319119,4398489,4403118,4485265,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,82147,82147,1.831%,29.725%,595,200,200,395,0,103857940.0,114743200,114743200
1,1,B1,2,2769804,692386220,702075999,14.5%,4300341,4379365,4383682,4465472,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81790,81790,1.832%,29.725%,395,200,200,195,0,100396010.0,110918400,110918400
2,1,B1,3,2769804,692386220,702075999,14.0%,4281562,4360241,4364246,4445679,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81433,81433,1.832%,29.725%,195,195,200,0,0,96934110.0,107093600,107093600
3,1,B1,4,2769804,692386220,702075999,13.5%,4262783,4341117,4344810,4425886,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81076,81076,1.832%,29.725%,0,0,0,0,200,93472080.0,101405400,101405400
4,1,B1,5,2769804,692386220,702075999,13.0%,4244004,4321993,4325374,4406092,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80718,80718,1.832%,29.725%,0,0,0,0,200,90010180.0,97649600,97649600
5,1,B1,6,2769804,692386220,702075999,12.5%,4225226,4302869,4305938,4386299,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80361,80361,1.832%,29.725%,0,0,0,0,200,86548300.0,93894000,93894000
6,1,B1,7,2769804,692386220,702075999,12.0%,4206447,4283745,4286502,4366506,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80004,80004,1.832%,29.725%,0,0,0,0,200,83086400.0,90138200,90138200
7,1,B1,8,2769804,692386220,702075999,11.5%,4187668,4264621,4267066,4346713,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79647,79647,1.832%,29.725%,0,0,0,0,200,79624450.0,86382400,86382400
8,1,B1,9,2769804,692386220,702075999,11.0%,4168889,4245498,4247630,4326920,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79290,79290,1.832%,29.725%,0,0,0,0,200,76162470.0,82626600,82626600
9,1,B1,10,2769804,692386220,702075999,10.5%,4150110,4226374,4228194,4307126,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78933,78933,1.833%,29.725%,0,0,0,0,200,72700520.0,78870800,78870800
10,2,B2,1,1663770,471179420,480869199,15.0%,3047180,3126549,3086661,3168808,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,82147,82147,2.592%,26.926%,539,200,200,339,0,70676940.0,81562200,81562200
11,2,B2,2,1663770,471179420,480869199,14.5%,3033932,3112956,3072949,3154739,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81790,81790,2.593%,26.926%,339,200,200,139,0,68321010.0,78843400,78843400
12,2,B2,3,1663770,471179420,480869199,14.0%,3020683,3099362,3059237,3140669,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81433,81433,2.593%,26.926%,139,139,200,0,0,65965110.0,76124600,76124600
13,2,B2,4,1663770,471179420,480869199,13.5%,3007434,3085768,3045524,3126600,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81076,81076,2.593%,26.926%,0,0,0,0,200,63609260.0,71542400,71542400
14,2,B2,5,1663770,471179420,480869199,13.0%,2994186,3072175,3031812,3112530,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80718,80718,2.593%,26.926%,0,0,0,0,200,61253330.0,68892800,68892800
15,2,B2,6,1663770,471179420,480869199,12.5%,2980937,3058581,3018100,3098461,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80361,80361,2.594%,26.926%,0,0,0,0,200,58897430.0,66243000,66243000
16,2,B2,7,1663770,471179420,480869199,12.0%,2967689,3044987,3004387,3084391,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80004,80004,2.594%,26.926%,0,0,0,0,200,56541600.0,63593400,63593400
17,2,B2,8,1663770,471179420,480869199,11.5%,2954440,3031394,2990675,3070322,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79647,79647,2.594%,26.926%,0,0,0,0,200,54185650.0,60943600,60943600
18,2,B2,9,1663770,471179420,480869199,11.0%,2941191,3017800,2976963,3056252,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79290,79290,2.594%,26.926%,0,0,0,0,200,51829750.0,58293800,58293800
19,2,B2,10,1663770,471179420,480869199,10.5%,2927943,3004206,2963250,3042183,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78933,78933,2.595%,26.926%,0,0,0,0,200,49473870.0,55644200,55644200
20,3,B3,1,1183094,375044220,384733999,15.0%,2494403,2573772,2514537,2596684,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,82147,82147,3.164%,26.926%,539,200,200,339,0,56256640.0,67141800,67141800
21,3,B3,2,1183094,375044220,384733999,14.5%,2483558,2562582,2503312,2585102,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81790,81790,3.164%,26.926%,339,200,200,139,0,54381410.0,64903800,64903800
22,3,B3,3,1183094,375044220,384733999,14.0%,2472712,2551391,2492087,2573520,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81433,81433,3.164%,26.926%,139,139,200,0,0,52506160.0,62665800,62665800
23,3,B3,4,1183094,375044220,384733999,13.5%,2461867,2540201,2480862,2561938,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81076,81076,3.165%,26.926%,0,0,0,0,200,50630960.0,58564200,58564200
24,3,B3,5,1183094,375044220,384733999,13.0%,2451022,2529011,2469637,2550356,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80718,80718,3.165%,26.926%,0,0,0,0,200,48755730.0,56395200,56395200
25,3,B3,6,1183094,375044220,384733999,12.5%,2440177,2517820,2458413,2538774,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80361,80361,3.165%,26.926%,0,0,0,0,200,46880550.0,54226200,54226200
26,3,B3,7,1183094,375044220,384733999,12.0%,2429332,2506630,2447188,2527192,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80004,80004,3.166%,26.926%,0,0,0,0,200,45005350.0,52057200,52057200
27,3,B3,8,1183094,375044220,384733999,11.5%,2418486,2495440,2435963,2515610,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79647,79647,3.166%,26.926%,0,0,0,0,200,43130100.0,49888000,49888000
