,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP 1,A3 P1,A3 P2,A4 P1,A4 P2,A5 P1,A5 P2,A6 P1,A6 P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,Subsidy Level,Subsidy Left,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
0,1,B1,1,2769804,692386220,702075999,15.0%,3816353,4119751,4016387,4339208,4209753,4551349,4403118,4763491,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,50.0,35.0,80.0,137,80.0,57.0,50.0,85,50.0,35.0,20.0,34,20.0,14.0,103857940.0,157243350.0,200.0,157243350.0
1,1,B1,2,2769804,692386220,702075999,14.75%,3807911,4110489,4007510,4329468,4200455,4541149,4393400,4752829,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,102126950.0,139643915.0,341.0,139643915.0
2,1,B1,3,2769804,692386220,702075999,14.5%,3799469,4101227,3998632,4319729,4191157,4530948,4383682,4742167,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,100396010.0,100396010.0,341.0,100396010.0
3,1,B1,4,2769804,692386220,702075999,14.25%,3791026,4091964,3989755,4309990,4181860,4520748,4373964,4731506,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,98665050.0,98665050.0,341.0,98665050.0
4,1,B1,5,2769804,692386220,702075999,14.0%,3782584,4082702,3980878,4300250,4172562,4510547,4364246,4720844,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,96934110.0,96934110.0,341.0,96934110.0
5,1,B1,6,2769804,692386220,702075999,13.75%,3774141,4073440,3972000,4290511,4163264,4500347,4354528,4710182,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,95203020.0,95203020.0,341.0,95203020.0
6,1,B1,7,2769804,692386220,702075999,13.5%,3765699,4064178,3963123,4280772,4153967,4490146,4344810,4699521,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,93472080.0,93472080.0,341.0,93472080.0
7,1,B1,8,2769804,692386220,702075999,13.25%,3757256,4054916,3954246,4271033,4144669,4479946,4335092,4688859,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,91741140.0,91741140.0,341.0,91741140.0
8,1,B1,9,2769804,692386220,702075999,13.0%,3748814,4045653,3945368,4261293,4135371,4469745,4325374,4678197,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,90010180.0,90010180.0,341.0,90010180.0
9,1,B1,10,2769804,692386220,702075999,12.75%,3740371,4036391,3936491,4251554,4126074,4459545,4315656,4667536,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,88279190.0,88279190.0,341.0,88279190.0
10,2,B2,1,1663770,471179420,480869199,15.0%,2499897,2675466,2699930,2894923,2893296,3107064,3086661,3319206,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,50.0,35.0,80.0,137,80.0,57.0,50.0,85,50.0,35.0,20.0,34,20.0,14.0,70676940.0,99361250.0,200.0,99361250.0
11,2,B2,2,1663770,471179420,480869199,14.75%,2494316,2669344,2693914,2888323,2886860,3100003,3079805,3311684,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,69498950.0,89639533.0,341.0,89639533.0
12,2,B2,3,1663770,471179420,480869199,14.5%,2488735,2663221,2687899,2881724,2880424,3092943,3072949,3304162,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,68321010.0,68321010.0,341.0,68321010.0
13,2,B2,4,1663770,471179420,480869199,14.25%,2483155,2657099,2681884,2875124,2873988,3085882,3066093,3296640,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,67143050.0,67143050.0,341.0,67143050.0
14,2,B2,5,1663770,471179420,480869199,14.0%,2477574,2650976,2675868,2868525,2867552,3078821,3059237,3289118,Subsidy,0,15000000,15,5e-05,17.155%,52.845%,0,0.0,50.0,85,85.0,0.0,80.0,137,137.0,0.0,50.0,85,85.0,0.0,20.0,34,34.0,0.0,65965110.0,65965110.0,341.0,65965110.0
