,Iteration,B Type,Constructor,Education Budget,Subdsidy Budget,Subsidy Level,Education Spare Budget,Subsidy Spare Budget,Land Cost,CC1,CC2,Net OP 1,A3 P1,A3 P2,A3 Subsidy Level,A4 P1,A4 P2,A4 Subsidy Level,A5 P1,A5 P2,A5 Subsidy Level,A6 P1,A6 P2,A6 Subsidy Level,Education Cost,Education affect,EI,U2-After-Education,U3-After-Education,Subsidy Level Cap,Subsidy Left,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Percentage Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Percentage Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Percentage Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Percentage Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
0,1,B1,1,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,15.0%,3856943,4164282,50000,4056977,4383739,50000,4250342,4595880,50000,4443708,4808022,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,104880960.0,118148397.0,49,118148397.0
1,1,B1,2,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,14.75%,3848413,4154923,50000,4048011,4373903,50000,4240957,4585583,50000,4433902,4797263,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,103133000.0,103133000.0,49,103133000.0
2,1,B1,3,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,14.5%,3839882,4145564,50000,4039046,4364067,50000,4231571,4575286,50000,4424096,4786505,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,101384990.0,101384990.0,49,101384990.0
3,1,B1,4,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,14.25%,3831351,4136205,50000,4030080,4354231,50000,4222185,4564988,50000,4414289,4775746,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,99636970.0,99636970.0,49,99636970.0
4,1,B1,5,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,14.0%,3822821,4126846,50000,4021115,4344394,50000,4212799,4554691,50000,4404483,4764988,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,97888910.0,97888910.0,49,97888910.0
5,1,B1,6,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,13.75%,3814290,4117487,50000,4012149,4334558,50000,4203413,4544394,50000,4394677,4754229,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,96140950.0,96140950.0,49,96140950.0
6,1,B1,7,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,13.5%,3805759,4108128,50000,4003184,4324722,50000,4194027,4534097,50000,4384871,4743471,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,94392880.0,94392880.0,49,94392880.0
7,1,B1,8,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,13.25%,3797229,4098769,50000,3994218,4314886,50000,4184641,4523799,50000,4375064,4732713,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,92644870.0,92644870.0,49,92644870.0
8,1,B1,9,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,13.0%,3788698,4089410,50000,3985252,4305050,50000,4175255,4513502,50000,4365258,4721954,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,90896850.0,90896850.0,49,90896850.0
9,1,B1,10,0.0,15000000.0,50000,0.0,12550000.0,2803906,699206620,708896399,12.75%,3780167,4080051,50000,3976287,4295214,50000,4165869,4503205,50000,4355452,4711196,50000,0,0.0,,2.5%,67.5%,50000,12550000.0,50.0,12,12,2.4%,0,80.0,20,20,2.5%,0,50.0,12,12,2.4%,0,20.0,5,5,2.5%,0,89148840.0,89148840.0,49,89148840.0
